date, pm25, pm10, o3, no2, so2, co
2019/10/1, 56, 26, 48, 18, 2, 2
2019/10/2, 69, 23, 33, 15, 2, 2
2019/10/3, 72, 18, 34, 12, 1, 2
2019/10/4, 54, 9, 40, 10, 3, 2
2019/10/5, 49, 7, 26, 3, 2, 1
2019/10/6, 12, 9, 26, 7, 1, 1
2019/10/7, 38, 13, 25, 13, 1, 3
2019/10/8, 41, 8, 31, 7, 2, 2
2019/10/9, 42, 10, 29, 11, 1, 2
2019/10/10, 47, 14, 24, 12, , 3
2019/10/11, 42, 17, 16, 3, , 1
2019/10/12, 18, 6, 26, 3, 1, 1
2019/10/13, 33, 14, 20, 7, 1, 1
2019/10/14, 23, 9, 24, 8, 1, 2
2019/10/15, 34, 9, 24, 8, 1, 2
2019/10/16, 21, 13, 20, 13, 1, 3
2019/10/17, 37, 12, 16, 10, 1, 2
2019/10/18, 37, 15, 15, 18, 2, 4
2019/10/19, 41, 10, 20, 11, 2, 3
2019/10/20, 43, 9, 22, 9, 2, 1
2019/10/21, 24, 6, 28, 4, 1, 1
2019/10/22, 17, 7, 23, 15, 2, 2
2019/10/23, 51, 10, 25, 8, 1, 1
2019/10/24, 26, 8, 22, 8, , 3
2019/10/25, 19, 6, 19, 18, 1, 3
2019/10/26, 35, 9, 23, 8, 2, 2
2019/10/27, 33, 10, 24, 11, 2, 2
2019/10/28, 36, 11, 17, 15, 1, 3
2019/10/29, 27, 18, 21, 34, 2, 5
2019/10/30, 48, 26, 24, 20, 3, 4
2019/10/31, 63, 25, 27, 26, 4, 4
2019/11/1, 81, 14, 26, 12, 4, 2
2019/11/2, 39, 20, 25, 10, 2, 3
2019/11/3, 53, 7, 27, 6, , 
2019/11/4, 42, 8, 21, 18, 2, 3
2019/11/5, 42, 16, 14, 28, 3, 4
2019/11/6, 42, 13, 24, 21, 2, 3
2019/11/7, 57, 9, 27, 11, 2, 2
2019/11/8, 32, 10, 26, 11, 2, 3
2019/11/9, 34, 12, 27, 12, 2, 3
2019/11/10, 50, 14, 19, 15, 1, 3
2019/11/11, 43, 11, 28, 12, , 3
2019/11/12, 46, 12, 19, 19, 1, 4
2019/11/13, 40, 11, 28, 14, 2, 3
2019/11/14, 60, 8, 18, 18, 2, 3
2019/11/15, 36, 13, 18, 29, 3, 5
2019/11/16, 49, 10, 28, 9, 1, 3
2019/11/17, 46, 11, 33, 17, 2, 3
2019/11/18, 44, 13, 25, 15, 1, 3
2019/11/19, 44, 5, 23, 6, 1, 2
2019/11/20, 19, 8, 24, 8, 1, 2
2019/11/21, 28, 9, 10, 19, 1, 3
2019/11/22, 32, 7, 21, 8, 1, 2
2019/11/23, 16, 8, 20, 15, 1, 4
2019/11/24, 31, 17, 15, 18, 1, 4
2019/11/25, 55, 6, 19, 10, 1, 
2019/11/26, 20, 14, 10, 21, 1, 3
2019/11/27, 40, 12, 16, 15, , 2
2019/11/28, 24, 7, 19, 14, 1, 5
2019/11/29, 28, 6, 23, 13, 1, 3
2019/11/30, 28, 17, 11, 22, 2, 4
2019/12/1, 51, 25, 3, 28, 1, 5
2019/12/2, 64, 6, 23, 15, 1, 3
2019/12/3, 29, 8, 16, 21, 5, 3
2019/12/4, 28, 6, 18, 21, 1, 2
